filepath,weight
FruitBox/Image_1.jpg,0.09
FruitBox/Image_2.jpg,0.09
FruitBox/Image_3.jpg,0.09
FruitBox/Image_4.jpg,0.09
FruitBox/Image_5.jpg,0.09
FruitBox/Image_6.jpg,0.09
FruitBox/Image_7.jpg,0.195
FruitBox/Image_8.jpg,0.195
FruitBox/Image_9.jpg,0.195
FruitBox/Image_10.jpg,0.195
FruitBox/Image_11.jpg,0.195
FruitBox/Image_12.jpg,0.295
FruitBox/Image_13.jpg,0.295
FruitBox/Image_14.jpg,0.295
FruitBox/Image_15.jpg,0.295
FruitBox/Image_16.jpg,0.295
FruitBox/Image_17.jpg,0.39
FruitBox/Image_18.jpg,0.39
FruitBox/Image_19.jpg,0.39
FruitBox/Image_20.jpg,0.39
FruitBox/Image_21.jpg,0.39
FruitBox/Image_22.jpg,0.495
FruitBox/Image_23.jpg,0.495
FruitBox/Image_24.jpg,0.495
FruitBox/Image_25.jpg,0.495
FruitBox/Image_26.jpg,0.495
FruitBox/Image_27.jpg,0.62
FruitBox/Image_28.jpg,0.62
FruitBox/Image_29.jpg,0.62
FruitBox/Image_30.jpg,0.62
FruitBox/Image_31.jpg,0.62
FruitBox/Image_32.jpg,0.62
FruitBox/Image_33.jpg,0.705
FruitBox/Image_34.jpg,0.705
FruitBox/Image_35.jpg,0.705
FruitBox/Image_36.jpg,0.705
FruitBox/Image_37.jpg,0.705
FruitBox/Image_38.jpg,0.835
FruitBox/Image_39.jpg,0.835
FruitBox/Image_40.jpg,0.835
FruitBox/Image_41.jpg,0.835
FruitBox/Image_42.jpg,0.835
FruitBox/Image_43.jpg,0.835
FruitBox/Image_44.jpg,0.95
FruitBox/Image_45.jpg,0.95
FruitBox/Image_46.jpg,0.95
FruitBox/Image_47.jpg,0.95
FruitBox/Image_48.jpg,0.95
FruitBox/Image_49.jpg,1.07
FruitBox/Image_50.jpg,1.07
FruitBox/Image_51.jpg,1.07
FruitBox/Image_52.jpg,1.07
FruitBox/Image_53.jpg,1.07
FruitBox/Image_54.jpg,1.16
FruitBox/Image_55.jpg,1.16
FruitBox/Image_56.jpg,1.16
FruitBox/Image_57.jpg,1.16
FruitBox/Image_58.jpg,1.16
FruitBox/Image_59.jpg,1.16
FruitBox/Image_60.jpg,1.265
FruitBox/Image_61.jpg,1.265
FruitBox/Image_62.jpg,1.265
FruitBox/Image_63.jpg,1.265
FruitBox/Image_64.jpg,1.265
FruitBox/Image_65.jpg,1.365
FruitBox/Image_66.jpg,1.365
FruitBox/Image_67.jpg,1.365
FruitBox/Image_68.jpg,1.365
FruitBox/Image_69.jpg,1.365
FruitBox/Image_70.jpg,1.48
FruitBox/Image_71.jpg,1.48
FruitBox/Image_72.jpg,1.48
FruitBox/Image_73.jpg,1.48
FruitBox/Image_74.jpg,1.48
FruitBox/Image_75.jpg,1.59
FruitBox/Image_76.jpg,1.59
FruitBox/Image_77.jpg,1.59
FruitBox/Image_78.jpg,1.59
FruitBox/Image_79.jpg,1.59
FruitBox/Image_80.jpg,1.59
FruitBox/Image_81.jpg,1.69
FruitBox/Image_82.jpg,1.69
FruitBox/Image_83.jpg,1.69
FruitBox/Image_84.jpg,1.69
FruitBox/Image_85.jpg,1.69
FruitBox/Image_86.jpg,1.69
FruitBox/Image_87.jpg,1.8
FruitBox/Image_88.jpg,1.8
FruitBox/Image_89.jpg,1.8
FruitBox/Image_90.jpg,1.8
FruitBox/Image_91.jpg,1.8
FruitBox/Image_92.jpg,1.8
FruitBox/Image_93.jpg,1.905
FruitBox/Image_94.jpg,1.905
FruitBox/Image_95.jpg,1.905
FruitBox/Image_96.jpg,1.905
FruitBox/Image_97.jpg,1.905
FruitBox/Image_98.jpg,1.905
FruitBox/Image_99.jpg,2.02
FruitBox/Image_100.jpg,2.02
FruitBox/Image_101.jpg,2.02
FruitBox/Image_102.jpg,2.02
FruitBox/Image_103.jpg,2.02
FruitBox/Image_104.jpg,2.125
FruitBox/Image_105.jpg,2.125
FruitBox/Image_106.jpg,2.125
FruitBox/Image_107.jpg,2.125
FruitBox/Image_108.jpg,2.125
FruitBox/Image_109.jpg,2.125
FruitBox/Image_110.jpg,2.125
FruitBox/Image_111.jpg,2.195
FruitBox/Image_112.jpg,2.195
FruitBox/Image_113.jpg,2.195
FruitBox/Image_114.jpg,2.195
FruitBox/Image_115.jpg,2.195
FruitBox/Image_116.jpg,2.195
FruitBox/Image_117.jpg,2.28
FruitBox/Image_118.jpg,2.28
FruitBox/Image_119.jpg,2.28
FruitBox/Image_120.jpg,2.28
FruitBox/Image_121.jpg,2.28
FruitBox/Image_122.jpg,2.28
FruitBox/Image_123.jpg,2.355
FruitBox/Image_124.jpg,2.355
FruitBox/Image_125.jpg,2.355
FruitBox/Image_126.jpg,2.355
FruitBox/Image_127.jpg,2.355
FruitBox/Image_128.jpg,2.465
FruitBox/Image_129.jpg,2.465
FruitBox/Image_130.jpg,2.465
FruitBox/Image_131.jpg,2.465
FruitBox/Image_132.jpg,2.465
FruitBox/Image_133.jpg,2.535
FruitBox/Image_134.jpg,2.535
FruitBox/Image_135.jpg,2.535
FruitBox/Image_136.jpg,2.535
FruitBox/Image_137.jpg,2.535
FruitBox/Image_138.jpg,2.535
FruitBox/Image_139.jpg,2.64
FruitBox/Image_140.jpg,2.64
FruitBox/Image_141.jpg,2.64
FruitBox/Image_142.jpg,2.64
FruitBox/Image_143.jpg,2.64
FruitBox/Image_144.jpg,2.64
FruitBox/Image_145.jpg,2.71
FruitBox/Image_146.jpg,2.71
FruitBox/Image_147.jpg,2.71
FruitBox/Image_148.jpg,2.71
FruitBox/Image_149.jpg,2.71
FruitBox/Image_150.jpg,2.81
FruitBox/Image_151.jpg,2.81
FruitBox/Image_152.jpg,2.81
FruitBox/Image_153.jpg,2.81
FruitBox/Image_154.jpg,2.81
FruitBox/Image_155.jpg,2.875
FruitBox/Image_156.jpg,2.875
FruitBox/Image_157.jpg,2.875
FruitBox/Image_158.jpg,2.875
FruitBox/Image_159.jpg,2.875
FruitBox/Image_160.jpg,2.98
FruitBox/Image_161.jpg,2.98
FruitBox/Image_162.jpg,2.98
FruitBox/Image_163.jpg,2.98
FruitBox/Image_164.jpg,2.98
FruitBox/Image_165.jpg,2.98
FruitBox/Image_166.jpg,3.07
FruitBox/Image_167.jpg,3.07
FruitBox/Image_168.jpg,3.07
FruitBox/Image_169.jpg,3.07
FruitBox/Image_170.jpg,3.07
FruitBox/Image_171.jpg,3.07
FruitBox/Image_172.jpg,3.18
FruitBox/Image_173.jpg,3.18
FruitBox/Image_174.jpg,3.18
FruitBox/Image_175.jpg,3.18
FruitBox/Image_176.jpg,3.18
FruitBox/Image_177.jpg,3.18
FruitBox/Image_178.jpg,3.18
FruitBox/Image_179.jpg,3.455
FruitBox/Image_180.jpg,3.455
FruitBox/Image_181.jpg,3.455
FruitBox/Image_182.jpg,3.455
FruitBox/Image_183.jpg,3.455
FruitBox/Image_184.jpg,3.455
FruitBox/Image_185.jpg,3.455
FruitBox/Image_186.jpg,3.455
FruitBox/Image_187.jpg,3.55
FruitBox/Image_188.jpg,3.55
FruitBox/Image_189.jpg,3.55
FruitBox/Image_190.jpg,3.55
FruitBox/Image_191.jpg,3.55
FruitBox/Image_192.jpg,3.55
FruitBox/Image_193.jpg,3.55
FruitBox/Image_194.jpg,3.55
FruitBox/Image_195.jpg,3.755
FruitBox/Image_196.jpg,3.755
FruitBox/Image_197.jpg,3.755
FruitBox/Image_198.jpg,3.755
FruitBox/Image_199.jpg,3.755
FruitBox/Image_200.jpg,3.755
FruitBox/Image_201.jpg,3.755
FruitBox/Image_202.jpg,3.755
FruitBox/Image_203.jpg,3.85
FruitBox/Image_204.jpg,3.85
FruitBox/Image_205.jpg,3.85
FruitBox/Image_206.jpg,3.85
FruitBox/Image_207.jpg,3.85
FruitBox/Image_208.jpg,3.85
FruitBox/Image_209.jpg,3.85
FruitBox/Image_210.jpg,3.85
FruitBox/Image_211.jpg,3.85
FruitBox/Image_212.jpg,3.85
FruitBox/Image_213.jpg,3.85
FruitBox/Image_214.jpg,3.25
FruitBox/Image_215.jpg,3.25
FruitBox/Image_216.jpg,3.25
FruitBox/Image_217.jpg,3.25
FruitBox/Image_218.jpg,3.25
FruitBox/Image_219.jpg,3.25
FruitBox/Image_220.jpg,3.645
FruitBox/Image_221.jpg,3.645
FruitBox/Image_222.jpg,3.645
FruitBox/Image_223.jpg,3.645
FruitBox/Image_224.jpg,3.645
FruitBox/Image_225.jpg,3.645
FruitBox/Image_226.jpg,3.645
FruitBox/Image_227.jpg,3.645
FruitBox/Image_228.jpg,3.645
FruitBox/Image_229.jpg,3.95
FruitBox/Image_230.jpg,3.95
FruitBox/Image_231.jpg,3.95
FruitBox/Image_232.jpg,3.95
FruitBox/Image_233.jpg,3.95
FruitBox/Image_234.jpg,3.95
FruitBox/Image_235.jpg,3.95
FruitBox/Image_236.jpg,3.95
FruitBox/Image_237.jpg,3.95
FruitBox/Image_238.jpg,3.95
FruitBox/Image_239.jpg,3.95
FruitBox/Image_240.jpg,4.055
